id,name,country,status,reactor_type,reactor_model,construction_start,operational_from,operational_to,capacity,last_updated,source,iaeaid
148,Chooz-B2,France,Operational,PWR,N4 REP 1450,1985-12-31,2000-09-29,,1455.0,2015-05-24T04:51:06+03:00,WNA/IAEA,226.0
129,CHASNUPP-1,Pakistan,Operational,PWR,CNP-300,1993-08-01,2000-09-15,,300.0,2021-06-07,WNA/IAEA,428.0
567,Rajasthan-3,India,Operational,PHWR,Horizontal Pressure Tube type,1990-02-01,2000-06-01,,202.0,2015-05-24T04:54:05+03:00,WNA/IAEA,287.0
147,Chooz-B1,France,Operational,PWR,N4 REP 1450,1984-01-01,2000-05-15,,1455.0,2015-05-24T04:51:04+03:00,WNA/IAEA,220.0
459,Mochovce-2,Slovakia,Operational,PWR,VVER V-213,1983-10-13,2000-04-11,,408.0,2021-10-01T00:14:53+03:00,WNA/IAEA,551.0
349,Kaiga-2,India,Operational,PHWR,Horizontal Pressure Tube type,1989-12-01,2000-03-16,,202.0,2015-05-24T04:54:05+03:00,WNA/IAEA,290.0
295,Hanul-4,South Korea,Operational,PWR,OPR-1000,1993-11-01,1999-12-31,,950.0,2022-04-21T20:26:19+03:00,IAEA,399.0
734,Wolsong-4,South Korea,Operational,PHWR,CANDU 6,1994-07-22,1999-10-01,,669.0,2022-04-21T20:26:19+03:00,WNA/IAEA,401.0
458,Mochovce-1,Slovakia,Operational,PWR,VVER V-213,1983-10-13,1998-10-29,,408.0,2021-10-01T00:14:53+03:00,WNA/IAEA,550.0
294,Hanul-3,South Korea,Operational,PWR,OPR-1000,1993-07-21,1998-08-11,,997.0,2021-04-20T02:47:37+03:00,IAEA,398.0
733,Wolsong-3,South Korea,Operational,PHWR,CANDU 6,1994-03-17,1998-07-01,,665.0,2022-04-21T20:26:19+03:00,WNA/IAEA,400.0
248,Genkai-4,Japan,Operational,PWR,M (4-loop),1992-07-15,1997-07-25,,1127.0,2015-05-24T04:51:29+03:00,WNA/IAEA,373.0
375,Kashiwazaki Kariwa-7,Japan,Suspended Operation,BWR,ABWR,1993-07-01,1997-07-02,,1315.0,2023-08-28T08:01:45+03:00,WNA/IAEA,384.0
732,Wolsong-2,South Korea,Operational,PHWR,CANDU 6,1992-09-25,1997-07-01,,652.0,2022-04-21T20:26:19+03:00,WNA/IAEA,408.0
120,Cernavoda-1,Romania,Operational,PHWR,CANDU 6,1983-03-31,1996-12-02,,650.0,2021-01-06T01:19:47+02:00,WNA/IAEA,442.0
374,Kashiwazaki Kariwa-6,Japan,Suspended Operation,BWR,ABWR,1992-11-03,1996-11-07,,1315.0,2023-08-28T08:01:45+03:00,WNA/IAEA,383.0
760,Zaporozhye-6,Ukraine,Operational,PWR,VVER V-320,1986-06-01,1996-09-17,,950.0,2015-05-24T04:51:39+03:00,WNA/IAEA,567.0
726,Watts Bar-1,United States,Operational,PWR,WH 4LP (ICECND),1973-07-20,1996-05-27,,1218.0,2017-02-10T23:58:57+02:00,WNA/IAEA,699.0
289,Hanbit-4,South Korea,Operational,PWR,OPR-1000,1990-05-26,1996-01-01,,950.0,2022-09-24T22:33:57+03:00,IAEA,397.0
638,Sizewell-B,United Kingdom,Operational,PWR,SNUPPS,1988-07-18,1995-09-22,,1188.0,2015-05-24T04:51:18+03:00,WNA/IAEA,263.0
355,Kakrapar-2,India,Operational,PHWR,Horizontal Pressure Tube type,1985-04-01,1995-09-01,,202.0,2015-05-24T04:54:05+03:00,WNA/IAEA,286.0
508,Onagawa-2,Japan,Suspended Operation,BWR,BWR-5,1991-04-12,1995-07-28,,796.0,2023-08-28T08:01:45+03:00,WNA/IAEA,382.0
418,Laguna Verde-2,Mexico,Operational,BWR,BWR-5,1977-06-01,1995-04-10,,780.0,2016-03-09T18:43:28+02:00,WNA/IAEA,421.0
288,Hanbit-3,South Korea,Operational,PWR,OPR-1000,1989-12-23,1995-03-31,,950.0,2022-04-21T20:26:19+03:00,IAEA,396.0
335,Ikata-3,Japan,Operational,PWR,M (3-loop),1990-10-01,1994-12-15,,846.0,2015-05-24T04:51:29+03:00,WNA/IAEA,374.0
372,Kashiwazaki Kariwa-4,Japan,Suspended Operation,BWR,BWR-5,1990-03-05,1994-08-11,,1067.0,2022-09-24T22:33:57+03:00,WNA/IAEA,381.0
175,Daya Bay-2 (Guangdong-2),China,Operational,PWR,M310,1988-04-07,1994-05-06,,930.0,2015-05-24T04:50:39+03:00,WNA/IAEA,64.0
555,Qinshan-1,China,Operational,PWR,CNP-300,1985-03-20,1994-04-01,,289.0,2023-08-28T08:01:45+03:00,WNA/IAEA,62.0
247,Genkai-3,Japan,Operational,PWR,M (4-loop),1988-06-01,1994-03-18,,1127.0,2015-05-24T04:51:29+03:00,WNA/IAEA,372.0
254,Golfech-2,France,Operational,PWR,P4 REP 1300,1984-10-01,1994-03-04,,1310.0,2015-05-24T04:51:06+03:00,WNA/IAEA,224.0
174,Daya Bay-1 (Guangdong-1),China,Operational,PWR,M310,1987-08-07,1994-02-01,,930.0,2015-05-24T04:50:39+03:00,WNA/IAEA,63.0
397,Kozloduy-6,Bulgaria,Operational,PWR,VVER V-320,1982-04-01,1993-12-30,,1003.0,2020-04-18T04:46:52+03:00,WNA/IAEA,21.0
28,Balakovo-4,Russia,Operational,PWR,VVER V-320,1984-04-01,1993-12-22,,950.0,2015-05-24T04:51:36+03:00,WNA/IAEA,527.0
283,Hamaoka-4,Japan,Suspended Operation,BWR,BWR-5,1989-10-13,1993-09-03,,1092.0,2022-12-30T02:07:18+02:00,WNA/IAEA,376.0
371,Kashiwazaki Kariwa-3,Japan,Suspended Operation,BWR,BWR-5,1989-03-07,1993-08-11,,1067.0,2022-09-24T22:33:57+03:00,WNA/IAEA,380.0
155,Comanche Peak-2,United States,Operational,PWR,WH 4LP (DRYAMB),1974-12-19,1993-08-03,,1150.0,2017-02-10T23:59:17+02:00,WNA/IAEA,730.0
615,Shika-1,Japan,Suspended Operation,BWR,BWR-5,1989-07-01,1993-07-30,,505.0,2022-12-30T02:24:37+02:00,WNA/IAEA,375.0
170,Darlington-4,Canada,Operational,PHWR,CANDU 850,1985-07-01,1993-06-14,,881.0,2015-05-24T04:50:26+03:00,WNA/IAEA,46.0
354,Kakrapar-1,India,Operational,PHWR,Horizontal Pressure Tube type,1984-12-01,1993-05-06,,202.0,2015-05-24T04:54:06+03:00,WNA/IAEA,308.0
169,Darlington-3,Canada,Operational,PHWR,CANDU 850,1984-09-01,1993-02-14,,881.0,2015-05-24T04:50:26+03:00,WNA/IAEA,45.0
499,Ohi-4,Japan,Operational,PWR,M (4-loop),1988-06-13,1993-02-02,,1127.0,2015-05-24T04:51:30+03:00,WNA/IAEA,379.0
167,Darlington-1,Canada,Operational,PHWR,CANDU 850,1982-04-01,1992-11-14,,881.0,2015-05-24T04:50:25+03:00,WNA/IAEA,43.0
533,Penly-2,France,Operational,PWR,P4 REP 1300,1984-08-01,1992-11-01,,1330.0,2015-05-24T04:51:05+03:00,WNA/IAEA,222.0
467,Narora-2,India,Operational,PHWR,Horizontal Pressure Tube type,1977-11-01,1992-07-01,,202.0,2015-05-24T04:54:06+03:00,WNA/IAEA,307.0
118,Cattenom-4,France,Operational,PWR,P4 REP 1300,1983-09-28,1992-01-01,,1300.0,2015-05-24T04:51:06+03:00,WNA/IAEA,223.0
498,Ohi-3,Japan,Operational,PWR,M (4-loop),1987-10-03,1991-12-18,,1127.0,2015-05-24T04:51:30+03:00,WNA/IAEA,378.0
697,Tomari-2,Japan,Suspended Operation,PWR,M (2-loop),1985-06-13,1991-04-12,,550.0,2022-09-24T22:33:57+03:00,WNA/IAEA,371.0
253,Golfech-1,France,Operational,PWR,P4 REP 1300,1982-11-17,1991-02-01,,1310.0,2015-05-24T04:51:04+03:00,WNA/IAEA,219.0
117,Cattenom-3,France,Operational,PWR,P4 REP 1300,1982-06-15,1991-02-01,,1300.0,2015-05-24T04:51:04+03:00,WNA/IAEA,218.0
466,Narora-1,India,Operational,PHWR,Horizontal Pressure Tube type,1976-12-01,1991-01-01,,202.0,2015-05-24T04:54:06+03:00,WNA/IAEA,306.0
532,Penly-1,France,Operational,PWR,P4 REP 1300,1982-09-01,1990-12-01,,1330.0,2015-05-24T04:51:05+03:00,WNA/IAEA,221.0
643,Smolensk-3,Russia,Operational,LWGR,RBMK-1000,1984-05-01,1990-10-12,,925.0,2015-05-24T04:51:36+03:00,WNA/IAEA,508.0
168,Darlington-2,Canada,Operational,PHWR,CANDU 850,1981-09-01,1990-10-09,,881.0,2015-05-24T04:50:26+03:00,WNA/IAEA,44.0
370,Kashiwazaki Kariwa-2,Japan,Suspended Operation,BWR,BWR-5,1985-11-18,1990-09-28,,1067.0,2022-09-24T22:33:57+03:00,WNA/IAEA,365.0
602,Seabrook-1,United States,Operational,PWR,WH 4LP (DRYAMB),1976-07-07,1990-08-19,,1149.0,2017-02-10T23:59:16+02:00,WNA/IAEA,727.0
154,Comanche Peak-1,United States,Operational,PWR,WH 4LP (DRYAMB),1974-12-19,1990-08-13,,1150.0,2017-02-10T23:59:17+02:00,WNA/IAEA,729.0
417,Laguna Verde-1,Mexico,Operational,BWR,BWR-5,1976-09-30,1990-07-28,,780.0,2022-04-21T20:26:19+03:00,WNA/IAEA,420.0
373,Kashiwazaki Kariwa-5,Japan,Suspended Operation,BWR,BWR-5,1985-06-20,1990-04-10,,1067.0,2022-09-24T22:33:57+03:00,WNA/IAEA,367.0
434,Limerick-2,United States,Operational,BWR,BWR-4 (Mark 2),1974-06-19,1990-01-08,,1055.0,2015-05-24T04:51:47+03:00,WNA/IAEA,679.0
648,South Ukraine-3,Ukraine,Operational,PWR,VVER V-320,1984-11-01,1989-12-29,,950.0,2015-05-24T04:51:40+03:00,WNA/IAEA,579.0
